CMDLINE C:\Python39\python.exe ml.py
MEM 1.484375 1691777721.9415
MEM 6.984375 1691777722.0536
MEM 9.296875 1691777722.1586
MEM 13.800781 1691777722.2707
MEM 17.496094 1691777722.3826
MEM 21.363281 1691777722.4928
MEM 23.500000 1691777722.6047
MEM 25.726562 1691777722.7158
MEM 28.570312 1691777722.8259
MEM 30.253906 1691777722.9339
MEM 32.855469 1691777723.0508
MEM 34.035156 1691777723.1648
MEM 35.539062 1691777723.2879
MEM 36.253906 1691777723.4259
MEM 36.855469 1691777723.5699
MEM 37.449219 1691777723.6850
MEM 39.253906 1691777723.7990
MEM 39.964844 1691777723.9120
MEM 40.429688 1691777724.0361
MEM 40.500000 1691777724.1571
MEM 41.367188 1691777724.2621
MEM 42.335938 1691777724.3741
MEM 46.242188 1691777724.4812
MEM 52.085938 1691777724.5902
MEM 55.511719 1691777724.6972
MEM 59.187500 1691777724.8062
MEM 62.847656 1691777724.9144
MEM 66.812500 1691777725.0253
MEM 70.035156 1691777725.1343
MEM 72.367188 1691777725.2444
MEM 75.414062 1691777725.3514
MEM 78.640625 1691777725.4629
MEM 80.582031 1691777725.5729
MEM 82.765625 1691777725.6829
MEM 84.425781 1691777725.7920
MEM 85.414062 1691777725.9030
MEM 86.613281 1691777726.0140
MEM 88.878906 1691777726.1250
MEM 91.855469 1691777726.2371
MEM 93.546875 1691777726.3491
MEM 95.324219 1691777726.4612
MEM 97.871094 1691777726.5732
MEM 99.476562 1691777726.6852
MEM 102.824219 1691777726.7952
MEM 105.128906 1691777726.9072
MEM 106.316406 1691777727.0173
MEM 108.250000 1691777727.1293
MEM 110.546875 1691777727.2403
MEM 112.953125 1691777727.3493
MEM 114.691406 1691777727.4614
MEM 116.812500 1691777727.5734
MEM 125.363281 1691777727.6864
MEM 132.250000 1691777727.7955
MEM 143.078125 1691777727.9035
MEM 154.093750 1691777728.0125
MEM 167.679688 1691777728.1237
MEM 146.800781 1691777728.2307
MEM 148.710938 1691777728.3406
MEM 150.300781 1691777728.4497
MEM 151.500000 1691777728.5575
MEM 155.378906 1691777728.6648
MEM 154.250000 1691777728.7875
MEM 154.566406 1691777728.8976
MEM 195.316406 1691777729.0116
MEM 308.527344 1691777729.1180
MEM 497.441406 1691777729.2266
MEM 674.425781 1691777729.3367
MEM 809.878906 1691777729.4707
MEM 946.246094 1691777729.5737
MEM 1074.644531 1691777729.6847
MEM 1173.394531 1691777729.8008
MEM 1289.660156 1691777729.9068
MEM 1433.785156 1691777730.0188
MEM 1582.007812 1691777730.1309
MEM 1619.558594 1691777730.2499
MEM 1666.644531 1691777730.3549
MEM 1751.964844 1691777730.4669
MEM 1811.406250 1691777730.5800
MEM 1895.394531 1691777730.6960
MEM 1970.269531 1691777730.7980
MEM 2049.113281 1691777730.9061
MEM 2094.859375 1691777731.0141
MEM 2145.429688 1691777731.1231
MEM 2211.835938 1691777731.2331
MEM 2241.839844 1691777731.3722
MEM 2293.792969 1691777731.4842
MEM 2366.214844 1691777731.5972
MEM 2434.398438 1691777731.7113
MEM 2494.050781 1691777731.8173
MEM 2541.500000 1691777731.9283
MEM 2601.335938 1691777732.0333
MEM 2682.109375 1691777732.1434
MEM 2756.378906 1691777732.2514
MEM 2821.437500 1691777732.3634
MEM 2920.304688 1691777732.4764
MEM 2985.148438 1691777732.5855
MEM 3058.191406 1691777732.6975
MEM 3154.121094 1691777732.8095
MEM 3240.554688 1691777732.9215
MEM 3289.691406 1691777733.0316
MEM 3348.902344 1691777733.1436
MEM 3415.886719 1691777733.2546
MEM 3482.441406 1691777733.3637
MEM 3565.210938 1691777733.4767
MEM 3646.562500 1691777733.5847
MEM 3724.570312 1691777733.6947
MEM 3808.363281 1691777733.8058
MEM 3886.871094 1691777733.9208
MEM 3963.609375 1691777734.0258
MEM 4060.320312 1691777734.1369
MEM 4160.230469 1691777734.2489
MEM 4236.644531 1691777734.3599
MEM 4290.683594 1691777734.4679
MEM 4376.800781 1691777734.5800
MEM 4465.746094 1691777734.6891
MEM 4550.640625 1691777734.7980
MEM 4632.363281 1691777734.9131
MEM 4713.519531 1691777735.0181
MEM 4793.714844 1691777735.1301
MEM 4843.554688 1691777735.2791
MEM 4905.308594 1691777735.3852
MEM 4950.656250 1691777735.4982
MEM 4983.437500 1691777735.6122
MEM 5013.398438 1691777735.7203
MEM 5060.671875 1691777735.8303
MEM 5113.367188 1691777735.9493
MEM 5145.464844 1691777736.1084
MEM 5181.152344 1691777736.2144
MEM 5231.835938 1691777736.3334
MEM 5279.621094 1691777736.4384
MEM 5319.898438 1691777736.5495
MEM 5376.074219 1691777736.6625
MEM 5393.738281 1691777736.7985
MEM 5398.722656 1691777736.9596
MEM 5425.597656 1691777737.0726
MEM 5429.082031 1691777737.1796
MEM 5461.925781 1691777737.2907
MEM 5467.652344 1691777737.4027
MEM 5473.375000 1691777737.5147
MEM 5478.601562 1691777737.6278
MEM 5512.273438 1691777737.7538
MEM 5559.234375 1691777737.8618
MEM 5589.804688 1691777737.9758
MEM 5609.500000 1691777738.0828
MEM 5625.683594 1691777738.1909
MEM 5635.621094 1691777738.3149
MEM 5646.316406 1691777738.4329
MEM 5655.023438 1691777738.5450
MEM 5664.984375 1691777738.6510
MEM 5678.410156 1691777738.7654
MEM 5694.070312 1691777738.8761
MEM 5711.089844 1691777738.9831
MEM 5723.414062 1691777739.0921
MEM 5730.863281 1691777739.2141
MEM 5748.269531 1691777739.3272
MEM 5767.417969 1691777739.4342
MEM 5783.328125 1691777739.5432
MEM 5802.738281 1691777739.6552
MEM 5823.390625 1691777739.7653
MEM 5842.558594 1691777739.8773
MEM 5847.781250 1691777739.9933
MEM 5852.257812 1691777740.0994
MEM 5857.480469 1691777740.2114
MEM 5861.464844 1691777740.3214
MEM 5866.191406 1691777740.4345
MEM 5870.925781 1691777740.5455
MEM 5875.652344 1691777740.6605
MEM 5877.898438 1691777740.8295
MEM 5878.394531 1691777741.0156
MEM 5883.371094 1691777741.1176
MEM 5894.320312 1691777741.2356
MEM 5908.746094 1691777741.3397
MEM 5924.171875 1691777741.4518
MEM 5939.910156 1691777741.5619
MEM 5956.027344 1691777741.6748
MEM 5970.960938 1691777741.7838
MEM 5986.902344 1691777741.8928
MEM 5986.902344 1691777742.0040
MEM 5986.902344 1691777742.1119
MEM 5986.902344 1691777742.2229
MEM 5986.902344 1691777742.3309
MEM 6023.234375 1691777742.4399
MEM 5905.511719 1691777742.5480
MEM 5798.414062 1691777742.6600
MEM 5783.714844 1691777742.7702
MEM 5879.718750 1691777742.8830
MEM 5936.531250 1691777742.9931
MEM 5984.421875 1691777743.1151
MEM 6031.507812 1691777743.2351
MEM 6091.914062 1691777743.3402
MEM 6157.582031 1691777743.4512
MEM 6200.773438 1691777743.5612
MEM 6251.511719 1691777743.6702
MEM 6293.894531 1691777743.7863
MEM 6324.683594 1691777743.8963
MEM 6355.734375 1691777744.0183
MEM 6410.410156 1691777744.1404
MEM 6473.515625 1691777744.2434
MEM 6528.246094 1691777744.3614
MEM 6572.300781 1691777744.4835
MEM 6580.003906 1691777744.6135
MEM 6574.765625 1691777744.7175
MEM 6576.460938 1691777744.8315
MEM 6576.527344 1691777745.0176
MEM 6577.394531 1691777745.1286
MEM 6579.988281 1691777745.2406
MEM 6582.179688 1691777745.3517
MEM 6582.773438 1691777745.4657
MEM 6583.187500 1691777745.5847
MEM 6582.636719 1691777745.7178
MEM 6581.859375 1691777745.8438
MEM 6582.179688 1691777745.9618
MEM 6582.718750 1691777746.0719
MEM 6583.613281 1691777746.1809
MEM 6584.804688 1691777746.2939
MEM 6586.054688 1691777746.4049
MEM 6587.503906 1691777746.5151
MEM 6588.851562 1691777746.6240
MEM 6589.726562 1691777746.7350
MEM 6591.023438 1691777746.8432
MEM 6592.000000 1691777746.9531
MEM 6600.398438 1691777747.0631
MEM 6612.882812 1691777747.1731
MEM 6623.597656 1691777747.2842
MEM 6653.183594 1691777747.3912
MEM 6663.710938 1691777747.5012
MEM 6537.746094 1691777747.6102
MEM 6032.257812 1691777747.7203
MEM 5545.484375 1691777747.8283
MEM 5046.839844 1691777747.9383
MEM 4576.492188 1691777748.0493
MEM 4105.175781 1691777748.1624
MEM 3681.089844 1691777748.2734
MEM 3195.902344 1691777748.3854
MEM 2703.632812 1691777748.4975
MEM 2241.964844 1691777748.6095
MEM 1787.179688 1691777748.7195
MEM 1321.574219 1691777748.8315
MEM 894.207031 1691777748.9436
MEM 526.328125 1691777749.0546
MEM 161.128906 1691777749.1636
MEM 83.847656 1691777749.2737
MEM 86.074219 1691777749.3837
MEM 82.351562 1691777749.5237
MEM 86.101562 1691777749.6467
